ASX code,Controlled entities,Match with 2014_2015,Match with 2013_2014,Match with 2012_2013
AAC,A. A. & P. Joint Holdings Pty Ltd,-,-,-
AAC,A. A. Company Pty Ltd,-,-,TT-Line Company Pty Ltd 
AAC,AACo Innovation Pty Ltd,-,-,-
AAC,AACo Nominees Pty Limited,-,-,AZSA Holdings Pty Limited 
AAC,Austcattle Holdings Pty Ltd,-,-,Alcoa Australian Holdings Pty Ltd 
AAC,Chefs Partner Pty Ltd,-,-,-
AAC,James McLeish Estates Pty Limited,-,-,-
AAC,Naroo Pastoral Company Pty Limited,-,-,-
AAC,Northern Australian Beef Limited,-,-,Caltex Australia Limited 
AAC,Polkinghornes Stores Pty Limited,-,-,-
AAC,Shillong Pty Ltd,-,-,Lion Pty Ltd 
AAC,Waxahachie Pty Ltd,-,-,-
AAC,Wondoola Pty Ltd,-,-,-
EKA,Hosston Holdings Pty Ltd,-,-,Alcoa Australian Holdings Pty Ltd 
EKA,Kiana Projects Pty Ltd,-,-,-
AAD,Ardent Leisure Limited,-,-,Ardent Leisure Limited 
AAD,Ardent Leisure Trust,-,-,Ardent Leisure Limited 
AAD,Bowling Centres Australia Pty Limited,-,-,Billiton Manganese Australia Pty Ltd 
AAD,Goodlife Operations Pty Limited,-,-,-
AAD,Goodlife Subtrust,-,-,-
AAD,Hypoxi Australia Pty Limited,-,-,Bidvest Australia Limited 
CMV,Advanced Recycling Australasia Pty Limited,-,-,-
CMV,Asia Pacific Metals Pty Limited,-,-,-
CMV,Asia Pacific Metals Unit Trust,-,-,-
CMV,CMA Assets Pty Limited,-,-,ABC Tissue Products Pty Limited 
CMV,CMA Recycling Australia Pty Limited,-,-,Rio Doce Australia Pty Limited 
CMV,CMA Recycling Pty Limited,-,-,AZSA Holdings Pty Limited 
CMV,CMA Recycling Victoria Pty Limited,-,-,-
CMV,T & T Metal & Asbestos Services Pty Limited,-,-,-
TEL,Gen-i Australia Pty Limited,-,-,Bechtel Australia Proprietary Limited 
FMG,Chichester Metals Pty Limited,-,-,-
FMG,FMG Air Pty Limited,-,-,Glideco Pty Limited 
FMG,FMG Ashburton Pty Limited,-,-,-
FMG,FMG Capital Pty Limited,-,-,Baiada Pty Limited 
FMG,FMG Chichester Personnel Pty Ltd,-,-,-
FMG,FMG Exploration Pty Limited,-,-,-
FMG,FMG IOC Pty Limited,-,-,-
FMG,FMG Iron Bridge (Aust) Pty Limited,-,-,-
FMG,FMG JV Company Pty Limited,-,-,-
