Controlling Corporation,Total scope 1 greenhouse gas emissions (t CO2-e),Total scope 2 greenhouse gas emissions (t CO2-e),Total energy consumption (GJ),Begin year,Begin Month,End year,End Month
A J Bush & Sons Pty Ltd,116661,19791,1234682,2010,8,2011,7
A.A. Scott Pty Ltd,156260,7983,2278327,2010,8,2011,7
A.C.N. 098 904 262 Pty Ltd,133254,0,1914299,2010,8,2011,7
A.C.N. 137 191 023 Pty Ltd,82223,72632,1782922,2010,8,2011,7
AAPC Limited,14819,145508,837993,2010,8,2011,7
ABC Tissue Products Pty Limited,26420,71442,797017,2010,8,2011,7
ACN 085 239 998 Pty Ltd,5984,220876,948630,2010,8,2011,7
ACTEW Corporation Ltd,74715,152066,872798,2010,8,2011,7
Adelaide Brighton Ltd,2818115,293662,19006479,2010,8,2011,7
Aditya Birla Minerals Ltd,89473,22166,2156212,2010,8,2011,7
AGL Energy Limited,1545278,51062,48878147,2010,8,2011,7
Air Liquide Australia Limited,4496,289949,1279089,2010,8,2011,7
Alacer Gold Pty Ltd,64395,28652,1271990,2010,8,2011,7
Alcan Gove Pty Limited,1939509,7401,28496005,2010,8,2011,7
Alcoa Australian Holdings Pty Ltd,8077434,9960835,173635531,2010,8,2011,7
ALDI Stores (A Limited Partnership),28565,153736,901235,2010,8,2011,7
Alfred Health,3602,51069,401847,2010,8,2011,7
Alinta Energy Finance Pty Ltd,6203051,35954,81081528,2010,8,2011,7
Alliance Airlines Pty Limited,90809,988,1308719,2010,8,2011,7
Amalgamated Holdings Limited,10426,149281,774876,2010,8,2011,7
Amcor Limited,557223,498193,10950937,2010,8,2011,7
AMP Limited,11903,182787,840663,2010,8,2011,7
Anglo American Australia Limited,3292840,578887,12036987,2010,8,2011,7
AngloGold Ashanti Australia Limited,137799,334,2730357,2010,8,2011,7
Apache Energy Limited,671471,776,143743187,2010,8,2011,7
APT Pipelines Limited,297099,155569,3361679,2010,8,2011,7
Ardent Leisure Limited,1744,50447,224869,2010,8,2011,7
Armesto's Transport Pty Ltd,63425,109,910059,2010,8,2011,7
Arnotts Biscuits Holdings Pty Ltd,28622,61516,786558,2010,8,2011,7
Arrow Energy Holdings Pty Ltd,895391,45413,17385492,2010,8,2011,7
Asciano Limited,986020,138340,14668557,2010,8,2011,7
ASP Ship Management Pty Ltd,60511,0,828136,2010,8,2011,7
ATCO Power Holdings Pty. Ltd.,961143,47571,19424000,2010,8,2011,7
Aurora Energy Pty Ltd,645602,106393,13780471,2010,8,2011,7
Auscan Holdings Pty Ltd,198258,52,2723213,2010,8,2011,7
Ausgrid,30032,1038775,4553683,2010,8,2011,7
Austin Health,15347,51309,446187,2010,8,2011,7
Australia and New Zealand Banking Group Ltd,7825,158569,659371,2010,8,2011,7
Australia Pacific Airports Corporation Limited,8276,68770,359803,2010,8,2011,7
Australian National University,12011,76453,505024,2010,8,2011,7
Australian Postal Corporation,86755,211923,2086754,2010,8,2011,7
Australian Transit Enterprises Pty Ltd,52376,1785,823170,2010,8,2011,7
Automotive Holdings Group Limited,28236,36022,558101,2010,8,2011,7
AUX Investments Pty Ltd,39811,23363,670806,2010,8,2011,7
Axia Energy Australia Pty Ltd,489793,15,9740687,2010,8,2011,7
AZSA Holdings Pty Limited,6268002,482613,11989439,2010,8,2011,7
Baiada Pty Limited,98832,208414,2376523,2010,8,2011,7
