Controlling Corporation,Scope 1,Scope 2,Scope 1+2,Energy Consumed,Begin year,Begin Month,End year,End Month
A J Bush & Sons Pty Ltd,89415,19537,108952,1053808,2011,8,2012,7
A.A. Scott Pty Ltd,155979,7557,163536,2273705,2011,8,2012,7
A.C.N. 098 904 262 Pty Ltd,135288,0,135288,1943518,2011,8,2012,7
A.C.N. 137 191 023 Pty Ltd,78505,67724,146228,1704272,2011,8,2012,7
AAPC Limited,15090,149664,164754,876158,2011,8,2012,7
ABC Tissue Products Pty Limited,21795,60368,82163,663730,2011,8,2012,7
ACN 085 239 998 PTY LTD,6252,212125,218378,941040,2011,8,2012,7
ACTEW Corporation Ltd,68765,150201,218966,760833,2011,8,2012,7
Adelaide Brighton Ltd,2814132,283866,3097998,18213600,2011,8,2012,7
Aditya Birla Minerals Ltd,107175,37710,144885,2667221,2011,8,2012,7
AGL Energy Limited,21741632,303574,22045206,274972535,2011,8,2012,7
AIR LIQUIDE AUSTRALIA LIMITED,9364,283331,292695,1265508,2011,8,2012,7
Alacer Gold Pty Ltd,75786,31126,106911,1460149,2011,8,2012,7
Alcan Gove Pty Limited,1918824,7424,1926248,28242441,2011,8,2012,7
Alcoa Australian Holdings Pty Ltd,8100358,9899663,18000021,180418629,2011,8,2012,7
ALDI Stores (A Limited Partnership),31241,165548,196790,984494,2011,8,2012,7
Alfred Health,3280,50726,54006,386527,2011,8,2012,7
Alinta Energy Finance Pty Ltd,4934785,38253,4973038,68609039,2011,8,2012,7
Alliance Airlines Pty Limited,128229,1120,129349,1846928,2011,8,2012,7
Amalgamated Holdings Limited,10193,136224,146418,727129,2011,8,2012,7
Amcor Limited,521981,485994,1007975,10442537,2011,8,2012,7
Americold Logistics Limited,6707,48261,54967,277418,2011,8,2012,7
AMP Limited,7989,178503,186492,780363,2011,8,2012,7
Anglo American Australia Limited,3196464,609726,3806190,15739864,2011,8,2012,7
AngloGold Ashanti Australia Limited,146378,383,146761,2911959,2011,8,2012,7
Apache Energy Limited,508422,817,509239,155889437,2011,8,2012,7
APT Pipelines Limited,327239,153937,481176,3675398,2011,8,2012,7
Ardent Leisure Limited,2646,51914,54560,253491,2011,8,2012,7
ARMESTO'S TRANSPORT PTY LTD,50048,125,50173,717641,2011,8,2012,7
Arnotts Biscuits Holdings Pty Ltd,26970,59185,86155,753436,2011,8,2012,7
Arrow Energy Holdings Pty Ltd,745955,44509,790464,14547812,2011,8,2012,7
Asahi Holdings (Australia) Pty Ltd,18098,50377,68475,517444,2011,8,2012,7
Asciano Limited,1027562,130234,1157795,15223518,2011,8,2012,7
ASP SHIP MANAGEMENT PTY LTD,70498,0,70498,964752,2011,8,2012,7
ATCO AUSTRALIA PTY. LTD.,1108138,1040,1109178,20373132,2011,8,2012,7
Aurora Energy Pty Ltd,663090,79053,742143,14028940,2011,8,2012,7
Auscan Holdings Pty Ltd,194315,51,194366,2663922,2011,8,2012,7
Ausgrid,31215,1092235,1123450,4822073,2011,8,2012,7
Austin Health,13745,52034,65779,420790,2011,8,2012,7
Australia and New Zealand Banking Group Ltd,8282,155832,164114,670303,2011,8,2012,7
AUSTRALIA PACIFIC AIRPORTS CORPORATION LIMITED,7591,66189,73780,341641,2011,8,2012,7
Australian Consolidated Food Holdings Pty Limited,36400,95103,131503,861317,2011,8,2012,7
Australian FPSO Management Pty Ltd,38086,16820,54906,90374,2011,8,2012,7
Australian National University,13075,81440,94515,543481,2011,8,2012,7
Australian Postal Corporation,87336,192419,279755,2031248,2011,8,2012,7
Australian Rail Track Corporation Limited,51345,11875,63220,899278,2011,8,2012,7
Automotive Holdings Group Limited,69131,41317,110448,1170396,2011,8,2012,7
AUX Investments Pty Ltd,62350,23576,85926,992214,2011,8,2012,7
Axia Energy Australia Pty Ltd,481159,17869,499028,9568645,2011,8,2012,7
AZSA Holdings Pty Limited,4945918,585193,5531112,13269518,2011,8,2012,7
B.M.D. HOLDINGS PTY. LIMITED,61474,1314,62787,889886,2011,8,2012,7
Baiada Pty Limited,100927,193100,294027,2479564,2011,8,2012,7
Barrick (Australia Pacific Holdings) Pty Ltd,199001,233102,432104,4872980,2011,8,2012,7
BARRICK (PD) AUSTRALIA LIMITED,139471,104025,243496,2967740,2011,8,2012,7
Barwon Region Water Corporation,17854,41439,59293,228700,2011,8,2012,7
BEGA CHEESE LIMITED,46437,93086,139524,1509708,2011,8,2012,7
BG International (AUS) Investments Pty Limited,645371,26777,672148,9875764,2011,8,2012,7
BGC (Australia) Pty Ltd,99726,75815,175541,2077119,2011,8,2012,7
BHP Billiton Aluminium Australia Pty Ltd,2277117,349003,2626120,39411825,2011,8,2012,7
BHP Billiton Energy Coal Australia Pty Ltd,1277134,73302,1350436,5086395,2011,8,2012,7
BHP Billiton Limited,6212022,2124423,8336445,92164056,2011,8,2012,7
Bidvest Australia Limited,13205,44757,57961,370618,2011,8,2012,7
BIG BEN HOLDINGS PTY. LIMITED,208439,29427,237866,907073,2011,8,2012,7
Billiton Manganese Australia Pty Ltd,482024,176119,658143,7709307,2011,8,2012,7
Blacktown Waste Services Pty Limited,60103,91,60194,23539,2011,8,2012,7
BlueScope Steel Limited,7527149,1087624,8614773,174189540,2011,8,2012,7
BM Alliance Coal Operations Pty Ltd,2251326,849460,3100787,21841688,2011,8,2012,7
BOC Limited,29942,577931,607874,2679399,2011,8,2012,7
Boeing Australia Holdings Proprietary Limited,15780,45024,60804,402717,2011,8,2012,7
Boral Limited,2411909,523503,2935413,20652101,2011,8,2012,7
Borg Manufacturing Pty Ltd,32913,90580,123493,1528609,2011,8,2012,7
BP Australia Investments Pty Ltd,1421797,488101,1909898,491489932,2011,8,2012,7
Bradken Limited,37243,102060,139303,1149004,2011,8,2012,7
Brickworks Ltd,213638,99481,313119,4618974,2011,8,2012,7
Brisbane City Council,258936,17048,275985,1783602,2011,8,2012,7
Brisbane Markets Limited,10927,43097,54024,212672,2011,8,2012,7
Brookfield HoldCo (Australia) Pty Limited,10040,72283,82323,384198,2011,8,2012,7
Building Supplies Group Holding Pty Ltd,63431,207333,270765,7162925,2011,8,2012,7
Byrns Smith Unit Trust,75995,7055,83050,1140915,2011,8,2012,7
C S Energy Limited,12074359,134795,12209154,133696269,2011,8,2012,7
Caledon Coal Pty Limited,105223,17039,122261,116970,2011,8,2012,7
Caltex Australia Limited,1849424,303099,2152523,458828346,2011,8,2012,7
Cargill Processing Limited,25019,27514,52533,440256,2011,8,2012,7
CBH Resources Limited,8592,71017,79608,415224,2011,8,2012,7
Cement Australia Holdings Pty Ltd,2570180,249213,2819393,13094033,2011,8,2012,7
Centennial Coal Company Limited,1868672,266253,2134925,1507706,2011,8,2012,7
Central Gippsland Region Water Corporation,30641,31963,62603,129652,2011,8,2012,7
Central Norseman Gold Corporation Limited,46319,28518,74837,818169,2011,8,2012,7
Centro Properties Limited,1763,58259,60021,253071,2011,8,2012,7
Centro Retail Ltd,1825,73474,75299,308909,2011,8,2012,7
CEVA Pty Ltd,97262,26483,123745,1493722,2011,8,2012,7
Charter Hall Limited,5237,94481,99719,415898,2011,8,2012,7
CHEDHA Holdings Pty Limited,20695,1378042,1398737,4384245,2011,8,2012,7
Chevron Australia Holdings Pty Ltd,485341,9030,494371,7878519,2011,8,2012,7
CITIC Pacific Mining Management Pty Ltd,142364,374,142738,2289117,2011,8,2012,7
City of Greater Geelong,72843,15251,88094,300838,2011,8,2012,7
Clarke Energy (Australia) Pty Ltd,128497,0,128497,2519234,2011,8,2012,7
Cliffs Asia Pacific Iron Ore Pty Ltd,122055,286,122341,1828001,2011,8,2012,7
Coca-Cola Amatil Limited,52803,132019,184823,1438899,2011,8,2012,7
Coliban Region Water Corporation,24380,27918,52297,98332,2011,8,2012,7
ComfortDelGro Cabcharge Pty Ltd.,82904,3884,86788,1200626,2011,8,2012,7
Comgen Australia Pty Ltd,576288,10383,586671,1112529,2011,8,2012,7
Commonwealth Bank of Australia,24811,364306,389117,1766884,2011,8,2012,7
Commonwealth Scientific and Industrial Research Organisation,14556,113476,128032,700327,2011,8,2012,7
Competitive Foods Australia Pty Ltd,17871,138625,156496,850974,2011,8,2012,7
Conoco Phillips Australia Gas Holdings Pty Ltd,1529783,2528,1532311,194062711,2011,8,2012,7
Consolidated Minerals Holdings (Australia) Pty Ltd,95677,1127,96803,1488281,2011,8,2012,7
Controlling Corporation Griffith University,1226,55431,56657,245482,2011,8,2012,7
Cristal Australia Pty Ltd,54086,76477,130564,1079252,2011,8,2012,7
Cristal Inorganic Chemicals Australia Pty Ltd,146534,44606,191140,1846184,2011,8,2012,7
Crocodile Gold Australia Pty Ltd,32436,43049,75485,699896,2011,8,2012,7
Crown Limited,34210,160480,194690,1151234,2011,8,2012,7
CSL Limited,11475,62839,74314,408962,2011,8,2012,7
CSR Limited,361838,273915,635754,7226473,2011,8,2012,7
CST Mineral Lady Annie Pty Limited,29434,29809,59244,618189,2011,8,2012,7
D&R Henderson Pty Ltd,19180,44950,64130,653063,2011,8,2012,7
Dalrymple Bay Coal Terminal Pty Ltd,984,79255,80239,338532,2011,8,2012,7
David Jones Limited,5017,93541,98558,386994,2011,8,2012,7
DBNGP (WA) Transmission Pty Limited,258501,1683,260184,4642296,2011,8,2012,7
Deakin University,7087,46525,53611,272660,2011,8,2012,7
Delta Electricity,18411537,156383,18567920,214182586,2011,8,2012,7
DEXUS HOLDINGS PTY LIMITED,7881,113273,121154,527572,2011,8,2012,7
Doral Pty Ltd,19350,73842,93193,633749,2011,8,2012,7
Downer EDI Limited,139679,46643,186322,2733978,2011,8,2012,7
DP World Australia (Holding) Pty Ltd,37537,52370,89907,743114,2011,8,2012,7
Eastern Metropolitan Regional Council,90224,585,90809,29036,2011,8,2012,7
Echo Entertainment Group Ltd,8565,105897,114462,596706,2011,8,2012,7
Ecogen Holdings Pty Ltd,254763,30536,285299,5221364,2011,8,2012,7
Elders Limited,20345,39628,59973,455560,2011,8,2012,7
ElectraNet Pty Ltd,2565,215867,218431,1165758,2011,8,2012,7
Electricity Generation Corporation T/A Verve Energy,7620222,7520,7627741,101561814,2011,8,2012,7
Electricity Networks Corporation,23780,932794,956575,4491600,2011,8,2012,7
Endeavour Energy,17027,719477,736504,3131330,2011,8,2012,7
ENERGEX LIMITED,28871,1149188,1178059,5685622,2011,8,2012,7
Energy Developments Limited,1053143,3674,1056817,23755519,2011,8,2012,7
EnergyAustralia Holdings Ltd,15731103,198778,15929881,223719216,2011,8,2012,7
Envestra Limited,415295,62,415357,329,2011,8,2012,7
Envirogen Pty Ltd,121508,74,121582,2156754,2011,8,2012,7
Epic Energy Holdings Pty Limited,67777,981,68758,757698,2011,8,2012,7
Eraring Energy,10137155,76779,10213934,118999123,2011,8,2012,7
Ergon Energy Corporation Limited,103346,777887,881233,4700122,2011,8,2012,7
ERM Power Limited,143519,3488,147007,2597094,2011,8,2012,7
Esperance Power Station Pty Ltd,63584,783,64367,1172703,2011,8,2012,7
Essential Energy,37868,618138,656006,3013085,2011,8,2012,7
Evolution Mining Limited,67364,163230,230594,1698708,2011,8,2012,7
EXXONMOBIL AUSTRALIA PTY LTD,2347805,230618,2578423,580700278,2011,8,2012,7
F & F MANAGEMENT PTY. LTD,2185,60724,62909,265577,2011,8,2012,7
Fairfax Media Limited,8182,76795,84976,416358,2011,8,2012,7
Farstad Shipping (Indian Pacific) Pty Ltd,163893,147,164041,2358622,2011,8,2012,7
Finasucre Investments (Australia) Pty Limited,49159,18187,67346,4099603,2011,8,2012,7
