Controlling Corporation,Corporate Total Scope 1 Emission (t CO2-e),Corporate Total Scope 2 Emission (t CO2-e),Corporate Total Energy Consumed (GJ),Begin year,Begin Month,End year,End Month
A J Bush & Sons Pty Ltd ,102372,18995,1068450,2012,8,2013,7
A.A. Scott Pty Ltd ,160531,7561,2341055,2012,8,2013,7
AAPC Limited ,19700,193782,1141028,2012,8,2013,7
ABC Tissue Products Pty Limited ,17361,48790,534385,2012,8,2013,7
ACN 085 239 998 PTY LTD ,6262,204120,924731,2012,8,2013,7
ACTEW Corporation Ltd ,67196,152594,771104,2012,8,2013,7
Adelaide Brighton Ltd ,2749900,295008,18269081,2012,8,2013,7
Aditya Birla Minerals Ltd ,100243,36601,2094919,2012,8,2013,7
AGL Energy Limited ,20236397,314529,171615418.9,2012,8,2013,7
AIR LIQUIDE AUSTRALIA LIMITED ,31429,289415,1211177.72,2012,8,2013,7
Alacer Gold Pty Ltd ,76199,30559,1244477,2012,8,2013,7
Alcan Gove Pty Limited ,1818688.689,0,24275074.78,2012,8,2013,7
Alcoa Australian Holdings Pty Ltd ,6505987.506,8511293.587,147043397,2012,8,2013,7
ALDI Foods Pty Limited ,35217,179777,1091964,2012,8,2013,7
Alinta Energy Finance Pty Ltd ,3933636,23414.30108,39755701.63,2012,8,2013,7
Alliance Airlines Pty Limited ,151043,1273,2175703,2012,8,2013,7
Amalgamated Holdings Limited ,10105,138752,745341,2012,8,2013,7
Amcor Limited ,464292.1443,448955.2359,9065289,2012,8,2013,7
Americold Logistics Limited ,6232,43893,255331,2012,8,2013,7
AMP Limited ,12120,154462,743541.46,2012,8,2013,7
Anglo American Australia Limited ,2983508,603997,13550746,2012,8,2013,7
AngloGold Ashanti Australia Limited ,153818,409,2525309,2012,8,2013,7
Apache Energy Limited ,762832,973,15329701,2012,8,2013,7
APT Pipelines Limited ,323871,14735,2791839,2012,8,2013,7
Ardent Leisure Limited ,2685,55944,273758,2012,8,2013,7
Arnotts Biscuits Holdings Pty Ltd ,28177,59326,789126,2012,8,2013,7
Arrium Limited ,3009787.429,1210069.639,41487028.15,2012,8,2013,7
ARROW ENERGY HOLDINGS PTY LTD ,790407,46614,11496622,2012,8,2013,7
Asahi Holdings (Australia) Pty Ltd ,19010,55191,554698,2012,8,2013,7
Asciano Limited ,1088013,145499,16184679,2012,8,2013,7
ASP SHIP MANAGEMENT PTY LTD ,70219,0,961874,2012,8,2013,7
ATCO AUSTRALIA PTY. LTD. ,1204412,79750,11966440,2012,8,2013,7
Atlas Iron Limited ,60863,384,881299,2012,8,2013,7
Aurizon Holdings Ltd ,755100,466584,12814546,2012,8,2013,7
AURORA ENERGY PTY LTD ,5393,63463,950718,2012,8,2013,7
Auscan Holdings Pty Ltd ,106912,0,1512712,2012,8,2013,7
Ausgrid ,35014.93711,973793.2124,4367489.517,2012,8,2013,7
Austin Health ,14987,52110,451422.3,2012,8,2013,7
Australia and New Zealand Banking Group Ltd ,7992,155208,669938,2012,8,2013,7
AUSTRALIA PACIFIC AIRPORTS CORPORATION LIMITED ,7848,68862,358079.11,2012,8,2013,7
Australian Consolidated Food Holdings Pty Limited ,37387,100482,874774.72,2012,8,2013,7
Australian National University ,15196,86043.68932,587937,2012,8,2013,7
Australian Postal Corporation ,124741,201403,2633937,2012,8,2013,7
Automotive Holdings Group Limited ,81645,45137,1366012,2012,8,2013,7
Aveng Australia Holdings Pty Ltd ,102100,4881,1487318,2012,8,2013,7
Axia Energy Australia Pty Ltd ,481427,0,5865062,2012,8,2013,7
AZSA Holdings Pty Limited ,5648364,642384,14412749.54,2012,8,2013,7
B.M.D. HOLDINGS PTY. LIMITED ,65732,21982,1037872,2012,8,2013,7
Baiada Pty Limited ,71422,168000,1800553.98,2012,8,2013,7
Barrick (Australia Pacific Holdings) Pty Ltd ,196870,239480,4305989,2012,8,2013,7
BARRICK (PD) AUSTRALIA LIMITED ,142189,106474,2602509,2012,8,2013,7
Beach Energy Limited ,94915,623,346965,2012,8,2013,7
Bechtel (Western Australia) Pty Ltd ,63509,8,817747,2012,8,2013,7
Bechtel Australia Proprietary Limited ,74271,3993,997550,2012,8,2013,7
BEGA CHEESE LIMITED ,47004,91709,1431644,2012,8,2013,7
BG International (AUS) Investments Pty Limited ,672051,5843,8707297,2012,8,2013,7
BGC (Australia) Pty Ltd ,103823.912,83580.35804,2250255.628,2012,8,2013,7
BHP Billiton Aluminium Australia Pty Ltd ,2499335,681346,43660141,2012,8,2013,7
BHP Billiton Energy Coal Australia Pty Ltd ,395340,77373,6075683.52,2012,8,2013,7
BHP Billiton Limited ,5511761,2052850,51585231,2012,8,2013,7
Bidvest Australia Limited ,17777,45783,402059,2012,8,2013,7
BIG BEN HOLDINGS PTY. LIMITED ,77010,31163,1066357,2012,8,2013,7
Billiton Manganese Australia Pty Ltd ,568554,204449,9200162,2012,8,2013,7
Blacktown Waste Services Pty Limited ,64010,60,15966,2012,8,2013,7
BlueScope Steel Limited ,6032558.959,933103.6823,72438179.53,2012,8,2013,7
Bluewaters Power 1 Pty Ltd ,1249039,3733,8036027,2012,8,2013,7
Bluewaters Power 2 Pty Ltd ,1358067,1787,9000983,2012,8,2013,7
BM Alliance Coal Operations Pty Ltd ,2188775,896616,22531884,2012,8,2013,7
BOC Limited ,27581,627296,3006577.49,2012,8,2013,7
Boeing Australia Holdings Proprietary Limited ,4883,46653,249564.23,2012,8,2013,7
Boral Limited ,2275675,503478,19640407,2012,8,2013,7
Borg Manufacturing Pty Ltd ,32984,90013,1536172,2012,8,2013,7
BP Australia Investments Pty Ltd ,1385342,517856,46169955.21,2012,8,2013,7
Bradken Limited ,35319,93995,1069982.78,2012,8,2013,7
Brickworks Ltd ,218289,99545,4423339,2012,8,2013,7
Brisbane City Council ?,212519.3756,19141.83673,1857512.816,2012,8,2013,7
Brookfield HoldCo (Australia) Pty Limited ,9826,77055,422598,2012,8,2013,7
Building Supplies Group Holding Pty Ltd ,52242,183466,6679597,2012,8,2013,7
Byrns Smith Unit Trust ,80463,7105,1184927,2012,8,2013,7
C S Energy Limited ?,12456460,208424,88615131.97,2012,8,2013,7
Caledon Coal Pty Limited ,104478,16217,124438.23,2012,8,2013,7
Caltex Australia Limited ,1849610,288640,96615106.19,2012,8,2013,7
Cargill Processing Limited ,26317,26833,448742,2012,8,2013,7
CBH Resources Limited ,10250,82794,490824,2012,8,2013,7
Cement Australia Holdings Pty Ltd ,2340354,223689,11718025.52,2012,8,2013,7
CEMENT AUSTRALIA PTY LIMITED ,40878,9157,627761,2012,8,2013,7
Centennial Coal Company Limited ,1677347,279687,1613809.87,2012,8,2013,7
CEVA Pty Ltd ,100578,23263,1530969,2012,8,2013,7
Charter Hall Limited ,5838,99484,435573,2012,8,2013,7
Chemco Pty Ltd ,30725,126402,2896498,2012,8,2013,7
Chevron Australia Holdings Pty Ltd ,527563,10432,6941722.44,2012,8,2013,7
CITIC Pacific Mining Management Pty Ltd ,247478,326,4279351,2012,8,2013,7
Cliffs Asia Pacific Iron Ore Pty Ltd ,145470,342,2115783,2012,8,2013,7
Coca-Cola Amatil Limited ,51039,143571.4286,1457624.628,2012,8,2013,7
ComfortDelGro Cabcharge Pty Ltd. ,86788,3549,1255191,2012,8,2013,7
Comgen Australia Pty Ltd ,315845,11216,963399,2012,8,2013,7
Commonwealth Bank of Australia ,22860,333827,1627533.39,2012,8,2013,7
Commonwealth Scientific and Industrial Research Organisation ,14888,109062,667806,2012,8,2013,7
Competitive Foods Australia Pty Ltd ,15044,143956,848659,2012,8,2013,7
Conoco Phillips Australia Gas Holdings Pty Ltd ,2500544,2767,303980815,2012,8,2013,7
Consolidated Minerals Holdings (Australia) Pty Ltd ,81391.31061,1138,1192598.082,2012,8,2013,7
Contract Power Australia Pty Ltd ,99957,0,1438236,2012,8,2013,7
Co-operative Bulk Handling Limited ,8395,55754,366720,2012,8,2013,7
Cristal Australia Pty Ltd ,62802.45539,75789,1200525.027,2012,8,2013,7
Cristal Inorganic Chemicals Australia Pty Ltd ,120633,42510,2271666.76,2012,8,2013,7
Crown Limited ,36927,151455,1113080,2012,8,2013,7
CSL Limited ,12268,66874,439603.69,2012,8,2013,7
CSR Limited ,361216,259123,6916369,2012,8,2013,7
CST Mineral Lady Annie Pty Limited ,22509,35136,550089,2012,8,2013,7
D&R Henderson Pty Ltd ,16105,37990,547764,2012,8,2013,7
Dalrymple Bay Coal Terminal Pty Ltd ,857,89784,388290,2012,8,2013,7
David Jones Limited ,7090,86925,366980,2012,8,2013,7
DBNGP (WA) Transmission Pty Limited ,237663,1804,4104525,2012,8,2013,7
Deakin University ,7620,51371,297635,2012,8,2013,7
Delta Electricity ,18526442,148063,133812721.6,2012,8,2013,7
DEXUS HOLDINGS PTY LIMITED ,9126,101382.0254,499050.9656,2012,8,2013,7
Doral Pty Ltd ,16570,55975,500794,2012,8,2013,7
Downer EDI Limited ,156804,48934,2939595,2012,8,2013,7
DP World Australia (Holding) Pty Ltd ,30030,47796,657523,2012,8,2013,7
Eastern Metropolitan Regional Council ,97096,676,40664.28,2012,8,2013,7
Echo Entertainment Group Ltd ,10006,106994,635431,2012,8,2013,7
Ecogen Holdings Pty Ltd ,116868,25184,1676879.16,2012,8,2013,7
EFS Worsley Holdings Pty Ltd ,313350,1399,460861,2012,8,2013,7
Elders Limited ,21675,31020,444263,2012,8,2013,7
ElectraNet Pty Ltd ,2782,204411,1158108,2012,8,2013,7
Electricity Generation Corporation T/A Verve Energy ,6546948,3929,54199826.73,2012,8,2013,7
Electricity Networks Corporation ,38698,938589,4579438,2012,8,2013,7
Endeavour Energy ,17884,676434,2962656,2012,8,2013,7
Energex Limited ,25879,973130,4686849.09,2012,8,2013,7
Energy Developments Limited ,1119205,2835,17618360,2012,8,2013,7
EnergyAustralia Holdings Ltd ,12316063,199989,103915016.6,2012,8,2013,7
ENVESTRA LIMITED ,456035,61,24760,2012,8,2013,7
Envirogen Pty Ltd ,129810,79,1434564,2012,8,2013,7
Ergon Energy Corporation Limited ,99966,763113,4311670,2012,8,2013,7
ERM Power Limited ,48379,4322,645816.96,2012,8,2013,7
Esperance Power Station Pty Ltd ,64147,0,1180671,2012,8,2013,7
Essential Energy ,38666,781106,3634809,2012,8,2013,7
Evolution Mining Limited ,109377,217212,2531991,2012,8,2013,7
EXXONMOBIL AUSTRALIA PTY LTD ,2232779.162,243551.7241,185579726.8,2012,8,2013,7
F & F MANAGEMENT PTY. LTD ,1624,59574,256912,2012,8,2013,7
Fairfax Media Limited ,9102.576958,70071.23402,409844.7526,2012,8,2013,7
Farstad Shipping (Indian Pacific) Pty Ltd ,194599,0,2952760,2012,8,2013,7
Federation Limited ,3118,119462,504948,2012,8,2013,7
Fitness First Asia Pacific Group Pty Limited ,3865,46551,256349,2012,8,2013,7
Fletcher Building (Australia) Pty Ltd ,83142,317472,3977444,2012,8,2013,7
FMR Investments Pty Ltd ,43795,19414,722650,2012,8,2013,7
Focus Minerals Ltd ,37865,31569,691332,2012,8,2013,7
Food Investments Pty Ltd ,112674,144984.5278,2261989.988,2012,8,2013,7
Ford Motor Company of Australia Limited ,22003.01205,162172,900356.7134,2012,8,2013,7
FORESTRY CORPORATION OF NSW ,64853,1141,935756,2012,8,2013,7
Fortescue Metals Group Ltd ,1331339,99522,20442388,2012,8,2013,7
FOSTER'S GROUP Pty Ltd ,43620,87804,1085717,2012,8,2013,7
FQM Australia Holdings Pty Ltd ,119229,20,1327088,2012,8,2013,7
FREQUENCY INFRASTRUCTURE AUSTRALIA HOLDINGS PTY LTD ,2207,128219,561248,2012,8,2013,7
FRITO-LAY AUSTRALIA HOLDINGS PTY LIMITED ,30581,33557,722137,2012,8,2013,7
Fujitsu Australia Limited ,666,109216,435257,2012,8,2013,7
Fulton Hogan Australia Pty/Ltd ,100916,18634,1757480,2012,8,2013,7
General Motors Australia Ltd ,32022,99650,1112750,2012,8,2013,7
Gladstone Ports Corporation Limited ,38005,67352,984373,2012,8,2013,7
Glencore Australia Investment Holdings Pty Ltd ,85025,68794,1849626,2012,8,2013,7
Glencore Investment Pty Ltd ,546173,331,7482899,2012,8,2013,7
Glideco Pty Limited ,12619,76284,497827,2012,8,2013,7
Gold Fields Australia Pty Ltd ,87263,130859,2086014,2012,8,2013,7
Goldfields Power Pty Ltd ,135707,0,1806799,2012,8,2013,7
Goodman Fielder Limited ,29196.05809,59740.80708,790228.1173,2012,8,2013,7
GPT Management Holdings Ltd ,8256,121067,577101.96,2012,8,2013,7
GRAINCORP LIMITED ,103653,186720,2488494.87,2012,8,2013,7
Grange Resources Limited ,173721,58961,3643328,2012,8,2013,7
Griffith University ,1169,56204.34304,253076.8461,2012,8,2013,7
GUJARAT NRE COKING COAL LIMITED ,345611,40677,193619,2012,8,2013,7
GWI Holdings No.2 Pty Ltd ,102896,2937,1496374,2012,8,2013,7
HAMSDALE AUSTRALIA PTY LIMITED ,24973,33164,450444,2012,8,2013,7
HANSON AUSTRALIA (HOLDINGS) PROPRIETARY LIMITED ,186127,56448,2879117,2012,8,2013,7
Harvey Norman Holdings Limited ,5451,148170,680228,2012,8,2013,7
Healthscope Hospitals Holdings Pty Ltd ,12780,105456,674731,2012,8,2013,7
Hewlett-Packard South Pacific Pty Ltd ,694,142826,551165,2012,8,2013,7
Hillgrove Resources Limited ,27700,26079,551205,2012,8,2013,7
Holcim Participations (Australia) Pty Ltd. ,185907,72168,3019333,2012,8,2013,7
Holiday Inns Holdings (Australia) Pty Ltd ,12632,68498,521495,2012,8,2013,7
HRL LIMITED ,615268,68883,12310943,2012,8,2013,7
Hunter Water Corporation ,23438,65925,331916,2012,8,2013,7
Huntsman Corporation Australia Pty Ltd ,17799,76895,2137429,2012,8,2013,7
HYDRO-ELECTRIC CORPORATION ,704346,23363,8151570,2012,8,2013,7
Hyne & Son Pty. Limited ,5447,53778,2046539,2012,8,2013,7
IBM A/NZ Holdings Pty Limited ?,841,94085,367996,2012,8,2013,7
ICC Holdings Pty Limited ,101892,1980,2196725,2012,8,2013,7
IDEMITSU AUSTRALIA RESOURCES PTY LTD ,123446,100692,3062660,2012,8,2013,7
Iluka Resources Limited ,367178.2952,115939.7658,5892447.955,2012,8,2013,7
Incitec Pivot Limited ,1217820,185887,28867726.12,2012,8,2013,7
Independence Group NL ,38226,17477,788556,2012,8,2013,7
Inghams Enterprises Pty Limited ,90540,239978,2002317,2012,8,2013,7
Inova  Resources Limited ,55333,0,933382,2012,8,2013,7
International Power (Australia) Holdings Pty Ltd ,17243187,203671,146993519.6,2012,8,2013,7
Investa Property Group Holdings Pty Limited ,5514,90418,449190,2012,8,2013,7
IPMG Pty Limited (Formally IPMG (Holdings) Pty Limited) ,14073,75225,555775.78,2012,8,2013,7
Isaac Plains Coal Management Pty Ltd ,116388,27282,1148030,2012,8,2013,7
ISPT Pty Ltd ,3671,76906,360477,2012,8,2013,7
J.J. Richards & Sons Pty Ltd ,68070,4476,1002433,2012,8,2013,7
James Hardie Austgroup Pty Ltd ,16845.22613,35860.30151,404286.4322,2012,8,2013,7
JBS Holdco Australia Pty Ltd ,232288,173450,2737392.82,2012,8,2013,7
Jellinbah Group Pty Ltd ,220404,8554,1955122,2012,8,2013,7
Jet Systems Pty Ltd ,162394,1876,2342314,2012,8,2013,7
JKC Australia LNG Pty Ltd ,64734,109,931076,2012,8,2013,7
John Swire & Sons Pty Ltd ,16736,70336,518450.4,2012,8,2013,7
Kalari Proprietary Limited ,53111,2006,767246,2012,8,2013,7
Kalgoorlie Consolidated Gold Mines Pty Ltd ,217182,255418,4890662,2012,8,2013,7
Karara Mining Limited ,80082,94024,1614048,2012,8,2013,7
