Controlling Corporation,ABN,Total Scope 1 Emission (t CO2-e),Total Scope 2 Emission (t CO2-e),Total Net Energy consumed  (GJ),Begin year,Begin Month,End year,End Month
A B C TISSUE PRODUCTS PTY LTD ,33003085112,25660,61440,755253,2013,8,2014,7
A.A. SCOTT PTY LTD ,14007601667,158272,6841,2307426,2013,8,2014,7
A.C.N. 085 239 998 PTY LTD ,39085239998,6832,193789,916119,2013,8,2014,7
A.J. BUSH & SONS PTY LTD ,77000134010,109584,18577,1087875,2013,8,2014,7
AAPC LIMITED ,87009175820,17897,179051,1061546,2013,8,2014,7
ADELAIDE BRIGHTON LIMITED ,15007596018,2451057,277974,16352449,2013,8,2014,7
ADITYA BIRLA MINERALS LIMITED ,37103515037,81805,6011,1592253,2013,8,2014,7
AGL ENERGY LIMITED ,74115061375,19622185,306355,165131979,2013,8,2014,7
AIR LIQUIDE AUSTRALIA LIMITED ,57004385782,39101,283854,1276136,2013,8,2014,7
ALCAN GOVE PTY LIMITED ,76000453663,1439810,0,19217694,2013,8,2014,7
ALCOA AUSTRALIAN HOLDINGS PTY LTD ,33096987370,6637955,7604775,132092993,2013,8,2014,7
ALDI FOODS PTY LIMITED ,18086210139,37294,193603,1193645,2013,8,2014,7
ALINTA ENERGY FINANCE PTY LTD ,39149229998,3919559,18853,40670462,2013,8,2014,7
ALLIANCE AIRLINES PTY LIMITED ,81107165980,111638,365,1605750,2013,8,2014,7
AMALGAMATED HOLDINGS LIMITED ,51000005103,10506,137492,768907,2013,8,2014,7
AMCOR LIMITED ,62000017372,7044,58827,329102,2013,8,2014,7
AMP LIMITED ,49079354519,8841,133992,635474,2013,8,2014,7
ANGLO AMERICAN AUSTRALIA LIMITED ,47004892371,2974005,603926,13686643,2013,8,2014,7
ANGLOGOLD ASHANTI AUSTRALIA LIMITED ,42008737424,277711,340,4340585,2013,8,2014,7
APACHE ENERGY LIMITED ,39009301964,602323,1099,12402734,2013,8,2014,7
APT PIPELINES LIMITED ,89009666700,311421,24201,2732634,2013,8,2014,7
ARDENT LEISURE LIMITED ,22104529106,2817,52915,271635,2013,8,2014,7
ARNOTTS BISCUITS HOLDINGS PTY LTD ,84080889621,27132,55548,762464,2013,8,2014,7
ARRIUM LIMITED ,63004410833,2850015,1100904,38641283,2013,8,2014,7
ARROW ENERGY HOLDINGS PTY LTD ,94141385293,1009399,41821,14287139,2013,8,2014,7
ASAHI HOLDINGS (AUSTRALIA) PTY LTD ,48135315767,18612,54968,551250,2013,8,2014,7
ASALEO CARE LIMITED ,61154461300,47720,154553,1402255,2013,8,2014,7
ASCIANO LIMITED ,26123652862,1064681,166054,15974369,2013,8,2014,7
ASP SHIP MANAGEMENT PTY LTD ,81080401949,63130,0,863153,2013,8,2014,7
ATCO AUSTRALIA PTY. LTD. ,74091033546,1104674,59068,12416773,2013,8,2014,7
ATLAS IRON LIMITED ,63110396168,95595,4067,1403587,2013,8,2014,7
AURIZON HOLDINGS LTD ,14146335622,765258,427317,12785920,2013,8,2014,7
AURORA ENERGY PTY LTD ,85082464622,5323,47223,920326,2013,8,2014,7
AUSCAN HOLDINGS PTY LIMITED ,70084400886,127434,39,9783974,2013,8,2014,7
AUSGRID ,67505337385,30643,908539,4071551,2013,8,2014,7
AUSNET SERVICES (TRANSMISSION) LTD ,48116124362,27652,1966365,6099776,2013,8,2014,7
AUSNET SERVICES HOLDINGS PTY LTD ,97086006859,156726,574905,2043304,2013,8,2014,7
AUSTIN HEALTH ,96237388063,12465,54421,408967,2013,8,2014,7
AUSTRALIA AND NEW ZEALAND BANKING GROUP LTD ,11005357522,8376,146546,655930,2013,8,2014,7
AUSTRALIA PACIFIC AIRPORTS CORPORATION LIMITED ,89069775266,7738,67846,355140,2013,8,2014,7
AUSTRALIAN CONSOLIDATED FOOD HOLDINGS PTY LIMITED  ,152947101,40188,94704,918495,2013,8,2014,7
AUSTRALIAN GAS NETWORKS LIMITED ,19078551685,463444,81,23136,2013,8,2014,7
AUSTRALIAN NATIONAL UNIVERSITY ,52234063906,16847,88071,611336,2013,8,2014,7
AUSTRALIAN NUCLEAR SCIENCE AND TECHNOLOGY ORGANISATION ,47956969590,2214,64136,237963,2013,8,2014,7
AUSTRALIAN POSTAL CORPORATION ,28864970579,118298,188853,2500186,2013,8,2014,7
AUTOMOTIVE HOLDINGS GROUP LIMITED ,35111470038,173779,73359,2793490,2013,8,2014,7
AVENG AUSTRALIA HOLDINGS PTY LTD ,33108058331,47364,5055,698431,2013,8,2014,7
AXIA ENERGY AUSTRALIA PTY LTD ,75108275216,480237,0,5876456,2013,8,2014,7
AZSA HOLDINGS PTY LIMITED ,51082714770,5336076,723561,15376506,2013,8,2014,7
B.M.D. HOLDINGS PTY. LIMITED ,47010093348,46183,9874,707547,2013,8,2014,7
BAIADA PTY LIMITED ,47000426808,67142,165661,1745526,2013,8,2014,7
BARRICK (AUSTRALIA PACIFIC HOLDINGS) PTY LTD ,68085702558,99426,215381,2472042,2013,8,2014,7
BARRICK (PD) AUSTRALIA LIMITED ,80050284967,13411,59969,513101,2013,8,2014,7
BC IRON LIMITED ,21120646924,53909,39,779600,2013,8,2014,7
BEACH ENERGY LIMITED ,20007617969,62696,614,446972,2013,8,2014,7
BECHTEL (WESTERN AUSTRALIA) PTY LTD ,25147531226,229225,0,2863147,2013,8,2014,7
BECHTEL AUSTRALIA PROPRIETARY LIMITED ,42006334505,71903,3048,964035,2013,8,2014,7
BEGA CHEESE LIMITED ,81008358503,48193,94810,1537676,2013,8,2014,7
BG INTERNATIONAL (AUS) INVESTMENTS PTY LIMITED ,86131104651,1311234,61839,10167871,2013,8,2014,7
BGC (AUSTRALIA) PTY LTD ,62005736005,111958,87345,2483328,2013,8,2014,7
BHCA PTY LIMITED ,99126164163,9304,69147,393380,2013,8,2014,7
BHP BILLITON ALUMINIUM PTY LTD ,65063671349,2893396,446616,46419781,2013,8,2014,7
BHP BILLITON ENERGY COAL AUSTRALIA PTY LTD ,79057364315,444806,83936,6833723,2013,8,2014,7
BHP BILLITON LIMITED ,49004028077,5817304,2067989,56953806,2013,8,2014,7
BIDVEST AUSTRALIA LIMITED ,33000228231,19946,44642,395998,2013,8,2014,7
BIG BEN HOLDINGS PTY. LIMITED ,63008434562,73060,24775,1064455,2013,8,2014,7
BILLITON MANGANESE AUSTRALIA PTY LTD ,33084205014,582711,174351,9545503,2013,8,2014,7
BLACKTOWN WASTE SERVICES PTY LIMITED ,21102860944,51221,92,14608,2013,8,2014,7
BLUESCOPE STEEL LIMITED ,16000011058,5699865,917908,69324056,2013,8,2014,7
BLUEWATERS POWER 1 PTY LTD ,93106034879,1298437,4138,8470090,2013,8,2014,7
BLUEWATERS POWER 2 PTY LTD ,57122896968,1302864,1045,8227734,2013,8,2014,7
BM ALLIANCE COAL OPERATIONS PTY LTD ,67096412752,2199209,999466,25886049,2013,8,2014,7
BOC LIMITED ,95000029729,23425,563217,2913943,2013,8,2014,7
BOEING AUSTRALIA HOLDINGS PROPRIETARY LIMITED ,42101168932,7875,42322,277952,2013,8,2014,7
BORAL LIMITED ,13008421761,1979924,443323,17015736,2013,8,2014,7
BORG MANUFACTURING PTY LIMITED ,31003246357,32561,100056,1711489,2013,8,2014,7
BP AUSTRALIA INVESTMENTS PTY LTD ,66102991551,1367801,480056,31585049,2013,8,2014,7
BRADKEN LIMITED ,33108693009,27683,72440,839387,2013,8,2014,7
BRICKWORKS LTD ,17000028526,224005,96020,4596110,2013,8,2014,7
BRISBANE CITY COUNCIL ,72002765795,203934,17141,1714112,2013,8,2014,7
BUILDING SUPPLIES GROUP HOLDINGS PTY LIMITED ,88121366041,50806,176146,6759714,2013,8,2014,7
C S ENERGY LIMITED 1,54078848745,9942184,168445,72706422,2013,8,2014,7
CALEDON COAL PTY LIMITED ,40120967839,104624,16960,137827,2013,8,2014,7
CALTEX AUSTRALIA LIMITED ,40004201307,1704466,269848,74373816,2013,8,2014,7
CARGILL AUSTRALIA LIMITED ,42004684173,91564,62839,1957095,2013,8,2014,7
CBH RESOURCES LIMITED ,27009423858,10248,84972,501215,2013,8,2014,7
CEMENT AUSTRALIA HOLDINGS PTY LTD ,99001085561,2505669,217751,11997754,2013,8,2014,7
CEMENT AUSTRALIA PTY LIMITED ,75104053474,39390,10793,617964,2013,8,2014,7
CENTENNIAL COAL COMPANY LIMITED ,30003714538,1302610,282518,1615454,2013,8,2014,7
CEVA PTY LTD ,27122147433,99965,31351,1550389,2013,8,2014,7
CHARTER HALL LIMITED ,57113531150,6007,103724,476254,2013,8,2014,7
CHEMCO PTY LTD ,68008725817,38195,144803,3202423,2013,8,2014,7
CHEVRON AUSTRALIA HOLDINGS PTY LTD ,60098079344,674280,11601,11252966,2013,8,2014,7
CHINOVA  RESOURCES LIMITED ,20107689878,53562,59,930183,2013,8,2014,7
CITIC PACIFIC MINING MANAGEMENT PTY LTD ,64119578371,372265,293,6956846,2013,8,2014,7
CKI UTILITIES DEVELOPMENT LTD & HEI UTILITIES DEVELOPMENT LTD & 3 OTHS ,13332330749,13596,480063,2953958,2013,8,2014,7
CLIFFS ASIA PACIFIC IRON ORE PTY LTD ,46001892995,155698,342,2262099,2013,8,2014,7
CMOC MINING PTY LIMITED ,17164997317,8865,130883,670834,2013,8,2014,7
