execid,exec_fullname,type,twitter_account
241,"Peter Karmanos, Jr.",Green,@karmanosunplggd
784,"James E. Rogers, Jr.",Green,@AllJimRogers
837,Richard Robinson,Green,@RichardR_29
1463,"John Peter McLaughlin, J.D.",Green,@jmclaughli
2967,Steven A. Ballmer,Blue,@clippersteveb
5706,Margaret C. Whitman,Blue,@MegWhitman
7568,Kent J. Thiry,Blue,@KentThiry
7768,"James H. DeGraffenreidt, Jr.",Green,@JDJR2009
10049,Garry O. Ridge,Green,@LearningMoment
11717,Timothy D. Cook,Blue,@tim_cook
12560,Douglas R. Conant,Green,@DougConant
13960,Russell P. Fradin,Green,@rfradin
14164,"Eric E. Schmidt, Ph.D.",Blue,@ericschmidt
14530,Matthew J. Desch,Green,@IridiumBoss
15055,Jeffrey P. Bezos,Green,@Plaid_Bezos
15182,Henry R. Nothhaft,Green,@HnRRacingLLC
15533,John S. Riccitiello,Green,@johnriccitiello
16312,Rolla P. Huff,Green,@RollaHuff
16588,Dara Khosrowshahi,Blue,@dkhos
16647,Jeffery A. Joerres,Green,@ManpowerGroupJJ
16872,"Dawne S. Hickton, Esq.",Green,@deshickton
17223,John H. Schnatter,Blue,@IAmPapaJohn
17856,David L. Pugh,Green,@davidsoho1
18117,Robert C. Hagerty,Green,@BobHagerty
18583,Vivek Y. Ranadive,Blue,@Vivek
18593,Gregory Q. Brown,Blue,@gregbrownmoto
18601,Michael J. Saylor,Blue,@michael_saylor
18624,Paul L. Sagan,Green,@PaulSagan1
18929,Mark Vincent Hurd,Green,@MarkVHurd
20439,John H. Heyman,Green,@johnheyman
20662,David J. Field,Blue,@DavidFieldETM
20859,Jeffrey R. Immelt,Blue,@JeffImmelt
23025,Cheryl A. Bachelder,Green,@CABachelder
23615,Gary D. Burnison,Green,@gary_burnison
23884,Bruce D. Broussard,Green,@BruceDBroussard
24310,Shirley Singleton,Green,@shirleyedge
24798,Carl Bass,Green,@carlbass
24802,Carlos M. Cardoso,Green,@CarlosMCardoso
25174,Steven L. Spinner,Green,@StevenSpinner
25279,Sean E. Menke,Green,@SeanMenke
25386,James S. Metcalf,Green,@JimMetcalf_USG
27199,Jonathan I. Schwartz,Green,@OpenJonathan
28209,Fernando G. Aguirre,Green,@FdoAguirreCEO
28220,James M. Whitehurst,Blue,@JWhitehurst
28397,Brian J. Dunn,Green,@briandunn
28580,Robert C. Paul,Green,@bobcpaul
28681,David A. Wentz,Green,@Dave_Wentz
28736,Gregory S. Marcus,Green,@gregmarcus
28880,Brad D. Smith,Blue,@IntuitBrad
29529,"John J. Donahoe, II",Blue,@Donahoe_John
29887,Matthew E. Rubel,Green,@mr2matt
30486,Susan R. Salka,Green,@SusanSalka
31029,Mark T. Bertolini,Blue,@mtbert
31412,J. Edward Coleman,Green,@colemaned
31461,Reed Hastings,Green,@reedhastings
31515,Louis DiNardo,Green,@loudinardo
31531,David P. Kirchhoff,Green,@dkirchhoff
31817,Diane M. Irvine,Green,@Diane_Irvine
31875,Marc E. Chardon,Green,@MarcChardon
32380,Naren K. Gursahaney,Green,@NarenGursahaney
32391,Sudhir Steven Singh,Blue,@SteveSSing
32525,Jonas Prising,Green,@JonasPrising
33179,"William C. Lucia, FLMI",Green,@BCLHMS
33415,Karl McDonnell,Blue,@Karl_McDonnell
34015,Jeffrey Katzenberg,Green,@J__Katz
34092,David Liu,Green,@davidliuXO
34509,Michael Rapino,Blue,@rapino99
34595,David P. Stockert,Green,@dpstockert
34625,Michael L. Baur,Green,@scanman57
34687,Charles J. Urstadt,Green,@Urstadt
34756,Donnie Smith,Green,@TysonFoodsCEO
35712,Marc R. Benioff,Blue,@Benioff
36324,Irving L. Azoff,Blue,@irvingazoff
36345,Kenneth D. Denman,Green,@kendenman
36409,Alex A. Molinaroli,Blue,@amolinaroli
36440,Richard A. Meeusen,Green,@rmeeusen
37542,George F. Colony,Green,@gcolony
37679,"Donald E. Brown, M.D.",Green,@DonBrownIndy
37704,"David W. Crane, J.D.",Green,@NRGDavidCrane
37935,"Wallace E. Boston, Jr., Ed.D",Green,@wallyboston
37968,Timothy M. Armstrong,Blue,@timarmstrongaol
38992,Dawn M. Zier,Green,@DawnZierNTRI
40104,Craig R. Herkert,Green,@CraigHerkert
40273,Scott K. Ginsburg,Green,@scott_ginsburg
40282,Deepak Chopra,Blue,@DeepakChopra
40454,Wyman T. Roberts,Green,@wymanroberts
40578,A. Lanham Napier,Green,@lnapier
40739,Gregory R. Gianforte,Green,@gianforte
41432,Ayman S. Ashour,Green,@AymanAshour
41706,Robert P. LoCascio,Green,@RobLoCascio
41723,Stephen E. Carley,Green,@scarley01
42020,Shaun E. McAlmont,Green,@ShaunMcAlmont
42279,Thomas D. Christopoul,Green,@tchristopoul
42515,Margaret C. Whitman,Blue,@MegWhitman
42730,Randy L. Ortiz,Green,@lojackceo
42976,T. Kendall Hunt,Green,@tkendallhunt
43350,Stephen Kaufer,Green,@kaufer
43691,Patrick K. Decker,Green,@PatrickKDecker
43726,Guy Gecht,Green,@GuyGecht
43977,Randall S. Dearth,Green,@RSDearth
44188,Brian M. Krzanich,Green,@bkrunner
44256,Jerome A. Peribere,Green,@JPeribere
44708,Marissa A. Mayer,Blue,@marissamayer
45152,John M. Foraker,Green,@AnniesCEO
45646,Paul S. Galant,Green,@PaulGalant
