ID,CONAME,gvkey,TWITTER ACCOUNT,Account
1,FANNIE MAE,004601,@FannieMae,Blue
2,BANK OF AMERICA CORP,007647,@BofAML,Blue
3,JPMORGAN CHASE & CO,002968,@jpmorgan,Blue
4,CITIGROUP INC,003243,@Citi,Blue
5,FEDERAL HOME LOAN MORTG CORP,015208,@FreddieMac,Green
6,WELLS FARGO & CO,008007,@WellsFargo,Blue
7,MERRILL LYNCH & CO INC,007267,@MerrillLynch,Blue
8,GOLDMAN SACHS GROUP INC,114628,@GoldmanSachs,Blue
9,KANSAS CITY SOUTHERN,006335,,N/A
10,MORGAN STANLEY,012124,@MorganStanley,Blue
11,GENERAL ELECTRIC CO,005047,@generalelectric,Blue
12,METLIFE INC,133768,@MetLife,Blue
13,AMERICAN INTERNATIONAL GROUP,001487,@AIGinsurance,Blue
14,WACHOVIA CORP,004739,@Wachovia,Blue
15,LEHMAN BROTHERS HOLDINGS INC,030128,,N/A
16,PRUDENTIAL FINANCIAL INC,143356,@PrudentialBYC,Blue
17,BEAR STEARNS COMPANIES INC,011818,,N/A
18,BERKSHIRE HATHAWAY,002176,,N/A
19,WASHINGTON MUTUAL INC,016243,,N/A
20,HARTFORD FINANCIAL SERVICES,061739,@TheHartford,Blue
21,U S BANCORP,004723,@usbank,Blue
22,BANK OF NEW YORK MELLON CORP,002019,@BNYMellon,Blue
23,EXXON MOBIL CORP,004503,@exxonmobil,Blue
24,AT&T INC,009899,@ATT,Blue
25,PNC FINANCIAL SVCS GROUP INC,008245,@PNCBank,Blue
26,VERIZON COMMUNICATIONS INC,002136,@verizon,Blue
27,CAPITAL ONE FINANCIAL CORP,030990,@CapitalOne,Blue
28,COUNTRYWIDE FINANCIAL CORP,003555,,N/A
29,FORD MOTOR CO,004839,@Ford,Blue
30,LINCOLN NATIONAL CORP,006742,@lincolnfingroup,Blue
31,HSBC USA INC,009061,@HSBC_Group,Blue
32,CHEVRON CORP,002991,@Chevron,Blue
33,WAL-MART STORES INC,011259,@Walmart,Blue
34,SUNTRUST BANKS INC,010187,@SunTrust,Blue
35,NAVIENT CORP,010121,@Navient,Blue
36,BB&T CORP,011856,@askBBT,Green
37,PFIZER INC,008530,@pfizer,Green
38,STATE STREET CORP,010035,@StateStreet,Blue
39,PRINCIPAL FINANCIAL GRP INC,145701,@ThePrincipal,Blue
40,GENERAL MOTORS CO,005073,@GM,Blue
41,CONOCOPHILLIPS,008549,@conocophillips,Blue
42,BLACKROCK INC,124434,@blackrock,Blue
43,AMERICAN EXPRESS CO,001447,@AmericanExpress,Blue
44,NATIONAL CITY CORP,007711,,N/A
45,PROCTER & GAMBLE CO,008762,@ProcterGamble,Blue
46,COMCAST CORP,003226,@comcast,Blue
47,ALLSTATE CORP,028349,@Allstate,Blue
48,REGIONS FINANCIAL CORP,004674,@askRegions,Blue
49,AMERIPRISE FINANCIAL INC,164708,@Ameriprise_News,Green
50,NATIONWIDE FINL SVCS  -CL A,064621,@NWFinancial,Blue
51,FIFTH THIRD BANCORP,004640,@FifthThird,Blue
52,INTL BUSINESS MACHINES CORP,006066,@IBM,Blue
53,GENWORTH FINANCIAL INC,158354,@Genworth,Green
54,HEWLETT-PACKARD CO,005606,@HP,Blue
55,TRAVELERS COS INC,062689,@Travelers,Blue
56,JOHNSON & JOHNSON,006266,@JNJCares,Blue
57,APPLE INC,001690,,N/A
58,MICROSOFT CORP,012141,@Microsoft,Blue
59,AFLAC INC,001449,@Aflac,Blue
60,KEYCORP,009783,@keybank,Blue
61,SANTANDER HOLDINGS USA INC,017130,@SantanderBankUS,Blue
62,SCHWAB (CHARLES) CORP,013988,@CharlesSchwab,Blue
63,NORTHERN TRUST CORP,007982,@NorthernTrust,Blue
64,ACE LTD,028034,@ACEGroup,Blue
65,MERCK & CO,007257,@Merck,Blue
66,TIME WARNER INC,025056,@twxcorp,Green
67,DUKE ENERGY CORP,004093,@DukeEnergy,Blue
68,MONDELEZ INTERNATIONAL INC,142953,@MDLZ,Blue
69,CISCO SYSTEMS INC,020779,@Cisco,Blue
70,LOEWS CORP,006781,@LoewsCorp,Red
71,CATERPILLAR INC,002817,@CaterpillarInc,Blue
72,M & T BANK CORP,004699,@MandT_Bank,Green
73,BOEING CO,002285,@Boeing,Blue
74,UNITED TECHNOLOGIES CORP,010983,@UTC,Blue
75,DISNEY (WALT) CO,003980,@Disney,Blue
76,EXELON CORP,008539,@Exelon,Blue
77,CIT GROUP INC,149738,@citgroup,Green
78,COCA-COLA CO,003144,@CocaColaCo,Blue
79,INTEL CORP,006008,@intel,Blue
80,ORACLE CORP,012142,@Oracle,Blue
81,SPRINT CORP,010984,@sprint,Blue
82,UNITEDHEALTH GROUP INC,010903,@UnitedHealthGrp,Blue
83,CVS HEALTH CORP,007241,@CVSHealth,Blue
84,COMERICA INC,003231,@ComericaCares,Green
85,DISCOVER FINANCIAL SVCS INC,177376,@Discover,Blue
86,DOW CHEMICAL,004060,@DowChemical,Blue
87,SOUTHERN CO,009850,@SouthernCompany,Blue
88,HSBC FINANCE CORP,005735,@HSBC_Group,Blue
89,MARSHALL & ILSLEY CORP,007067,,N/A
90,TWENTY-FIRST CENTURY FOX INC,012886,@FoxHomeEnt,Blue
91,GOOGLE INC,160329,@google,Blue
92,CNA FINANCIAL CORP,002558,@CNA_Insurance,Green
93,UNUM GROUP,012726,@AskUnum,Blue
94,NEXTERA ENERGY INC,004517,@nexteraenergy,Green
95,PEPSICO INC,008479,@PepsiCo,Blue
96,MUFG AMERICAS HOLDINGS CORP,002620,,N/A
97,AMERICAN ELECTRIC POWER CO,001440,@AEPnews,Green
98,ANTHEM INC,145046,@AnthemInc,Blue
99,ZIONS BANCORPORATION,011687,@ZionsBank,Green
100,BERKSHIRE HATHAWAY ENERGY CO,013427,@BHEnergyCo,Green
101,HUNTINGTON BANCSHARES,005786,@Huntington_Bank,Blue
102,ANADARKO PETROLEUM CORP,011923,,N/A
103,OCCIDENTAL PETROLEUM CORP,008068,@OXY_Petroleum,Green
104,CHUBB CORP,003024,@ChubbInsurance,Green
105,TIME WARNER CABLE INC,176404,@TWC,Blue
106,PG&E CORP,008264,@PGE4Me,Blue
107,PROTECTIVE LIFE CORP,008789,@ProtectiveLife,Green
108,E TRADE FINANCIAL CORP,063501,@etrade,Blue
109,APACHE CORP,001678,@ApacheCorp,Green
110,PHILLIPS 66,170841,@Phillips66Co,Blue
111,ABBOTT LABORATORIES,001078,@AbbottNews,Blue
112,HUDSON CITY BANCORP INC,122015,,N/A
113,CIGNA CORP,002547,@Cigna,Green
114,COMMERCE BANCORP INC/NJ,016784,,N/A
115,XL GROUP PLC,024318,@XLCatlin,Green
116,DOMINION RESOURCES INC,004029,@DomNews,Green
117,DEERE & CO,003835,@JohnDeere,Green
118,SCHLUMBERGER LTD,009465,@SchlumbergerBC,Green
