execid,EXEC_FULL_NAME,Compared_Chen2016,TYPE,TWITTER ACCOUNT,First_join,First_tweet,Comments,Twitterlist,Number_follower,Number_following
40578,A. Lanham Napier,YES,Green,@lnapier,3/26/2008,1/18/2009,,1,2239,66
32957,Ahmad R. Chatila,,Green,@AhmadRChatila,4/7/2015,4/7/2015,retair ,1,1630,48
15843,Alan George Lafley,,Red,@AlanLafley,3/19/2009,,No tweeted ,1,400,0
36409,Alex A. Molinaroli,YES,Blue,@amolinaroli,8/28/2011,6/27/2013,,1,12010,294
8200,"Alex Lidow, Ph.D.",,Green,@AlexLidow,8/23/2011,4/13/2015,retair ,1,5624,728
11621,"Alfred P. West, Jr.",,Red,@alfred_west,9/21/2010,,No tweeted ,1,7,0
36465,Andrew A. Krakauer,,Green,@akrakauer,2/3/2011,2/3/2011,No tweeted ,1,19,54
9209,Angelo R. Mozilo,,Red,@angelomozilo,3/7/2008,3/7/2008,fake account,1,3,0
36598,Anil K. Singhal,,Green,@AnilSinghal_CEO,7/9/2015,,No tweeted ,1,10,0
42534,Ann D. Murtlow,,Green,@AnnMurtlow,4/23/2013,4/9/2014,retair ,1,798,513
12278,Aron J. Ain,,Green,@AronAin,12/1/2009,12/9/2009,retair ,1,2721,583
1875,Arthur T. Shorin,,Green,@arthurartuitive,3/2/2011,3/9/2011,low tweets ,1,26,33
43787,Atul Bhatnagar,,Green,@ABhatnagar_CN,2/23/2014,2/24/2014,retair ,1,61,26
23054,"August A. Busch, IV",,Red,@AugustBusch,10/13/2012,3/18/2013,fake account,1,118,26
41432,Ayman S. Ashour,YES,Green,@AymanAshour,9/24/2010,9/24/2010,,1,395,275
32528,Bahram Akradi,,Green,@bahramakradi,9/23/2009,,No tweeted ,1,478,2
28880,Brad D. Smith,,Blue,@IntuitBrad,5/26/2012,12/3/2013,,1,7842,558
28782,Brenda C. Barnes,,Red,@BRENDABARNES8,5/17/2012,,No tweeted ,1,2,22
28397,Brian J. Dunn,YES,Green,@briandunn,9/6/2008,9/24/2008,,1,12715,2685
44188,Brian M. Krzanich,YES,Green,@bkrunner,2/11/2011,2/11/2011,,1,11565,15
45669,Brian Slobodow,YES,Green,@BSlobodow,3/24/2009,7/12/2009,,1,329,124
23884,Bruce D. Broussard,YES,Green,@BruceDBroussard,11/8/2012,1/7/2013,,1,4022,38
43213,"Bruce J. Schanzer, J.D.",,Green,@BruceSchanzer,5/21/2013,,No tweeted ,1,4,0
3721,Bruce Karatz,,Red,@BruceKaratz,3/31/2014,3/31/2014,fake account,1,2,0
30226,"Candace B. Kendle, PharmD., Ph.D.",,Green,@CandaceKendle,10/7/2011,10/8/2011,retair ,1,119,156
24798,Carl Bass,YES,Green,@carlbass,2/17/2009,1/25/2011,,1,13313,165
24802,Carlos M. Cardoso,YES,Green,@CarlosMCardoso,12/1/2011,12/3/2011,,1,1337,875
33003,Chaim Katzman,,Green,@ChaimKatzman,4/12/2012,,No tweeted ,1,12,1
