execid,EXEC_FULL_NAME,Compared_Chen2016,TYPE,TWITTER ACCOUNT,First_join,First_tweet,Comments,Number_follower,Number_following,Tweet_time,Tweet_text
16872,"Dawne S. Hickton, Esq.",YES,Green,@deshickton,12/12/2012,14/08/2013,New,49,34,2016-11-16 11:53:47,b'RT @WSJ: Liberal political groups see surge in donations after Donald Trump\xe2\x80\x99s election https://t.co/1DwagiOnd2 \xf0\x9f\x94\x93'
16872,"Dawne S. Hickton, Esq.",YES,Green,@deshickton,12/12/2012,14/08/2013,New,49,34,2016-11-10 22:35:05,"b""RT @EthanLDN: So the final numbers for #ElectionDay are:\n\n231,556,622 eligible voters\n\n46.9% didn't vote\n25.6% voted Clinton\n25.5% voted Tr\xe2\x80\xa6"""
16872,"Dawne S. Hickton, Esq.",YES,Green,@deshickton,12/12/2012,14/08/2013,New,49,34,2016-11-10 00:09:44,b'RT @CNNMoney: The two largest stock markets in Russia gained nearly 2% -- lone bright spots amid otherwise flustered markets. https://t.co/\xe2\x80\xa6'
16872,"Dawne S. Hickton, Esq.",YES,Green,@deshickton,12/12/2012,14/08/2013,New,49,34,2016-11-10 00:09:33,b'RT @WSJ: U.S. space exploration programs face potential reset under Donald Trump https://t.co/fhfIJ4lECi \xf0\x9f\x94\x93'
16872,"Dawne S. Hickton, Esq.",YES,Green,@deshickton,12/12/2012,14/08/2013,New,49,34,2016-11-10 00:08:36,"b""RT @WSJ: Trump's upset win was a coup for a tiny data firm that helped the campaign target ads using psychology https://t.co/kOXJuTicZr \xf0\x9f\x94\x93"""
16872,"Dawne S. Hickton, Esq.",YES,Green,@deshickton,12/12/2012,14/08/2013,New,49,34,2016-01-09 02:20:23,"b'RT @CWEChatham: Innovation,being nimble, diversification: the keys to a successful company says Dawne Hickton @ChathamU #breakfastseriescwe'"
16872,"Dawne S. Hickton, Esq.",YES,Green,@deshickton,12/12/2012,14/08/2013,New,49,34,2016-01-09 02:19:11,"b""RT @CWEChatham: We didn't stand still-says Dawne Hickton @CWEChatham #breakfastseriescwe https://t.co/6IL83gMJWw"""
16872,"Dawne S. Hickton, Esq.",YES,Green,@deshickton,12/12/2012,14/08/2013,New,49,34,2015-05-22 11:14:50,b'@RTIIntlMetals @JAWPA'
16872,"Dawne S. Hickton, Esq.",YES,Green,@deshickton,12/12/2012,14/08/2013,New,49,34,2014-11-02 15:56:07,"b""@michele33913 thx!!!  Eating breakfast at famous Pamela's diner in the 'burgh!"""
16872,"Dawne S. Hickton, Esq.",YES,Green,@deshickton,12/12/2012,14/08/2013,New,49,34,2014-10-28 11:37:50,b'@sduerriv hi Sam!  Hope all is well -- Mrs H'
16872,"Dawne S. Hickton, Esq.",YES,Green,@deshickton,12/12/2012,14/08/2013,New,49,34,2014-10-07 16:27:48,"b'Talking to your car can be dangerous, studies say (from @AP) http://t.co/mVOPoj0aUx'"
16872,"Dawne S. Hickton, Esq.",YES,Green,@deshickton,12/12/2012,14/08/2013,New,49,34,2014-10-01 10:00:05,b'App teaches kindergartners basic computer coding (from @AP) http://t.co/g7CsO3dPKN'
16872,"Dawne S. Hickton, Esq.",YES,Green,@deshickton,12/12/2012,14/08/2013,New,49,34,2014-09-21 12:48:04,"b'SpaceX launches 3-D printer, other station gear (from @AP) http://t.co/WrokvjIV2n'"
16872,"Dawne S. Hickton, Esq.",YES,Green,@deshickton,12/12/2012,14/08/2013,New,49,34,2014-09-11 10:52:35,b'Health benefit costs up http://t.co/UjwsTCAnkb via @triblive'
16872,"Dawne S. Hickton, Esq.",YES,Green,@deshickton,12/12/2012,14/08/2013,New,49,34,2014-08-27 18:17:24,b'RT @WSJ: How do you get girls into engineering? Let them build their own toys. http://t.co/KCP1ouFrqZ http://t.co/uknBVYlp2i'
16872,"Dawne S. Hickton, Esq.",YES,Green,@deshickton,12/12/2012,14/08/2013,New,49,34,2014-08-27 14:20:45,b'Great Day SA Panthers golf! http://t.co/zLqw3PWeb8'
16872,"Dawne S. Hickton, Esq.",YES,Green,@deshickton,12/12/2012,14/08/2013,New,49,34,2014-08-27 14:00:50,b'First day classes Emory!  GO EAGLES and Good Luck! http://t.co/Hm1mIUZIx9'
16872,"Dawne S. Hickton, Esq.",YES,Green,@deshickton,12/12/2012,14/08/2013,New,49,34,2014-08-14 23:11:27,b'@WSJ'
16872,"Dawne S. Hickton, Esq.",YES,Green,@deshickton,12/12/2012,14/08/2013,New,49,34,2014-08-06 11:37:56,b'Science history in space!   http://t.co/nKfxYjyTKU'
16872,"Dawne S. Hickton, Esq.",YES,Green,@deshickton,12/12/2012,14/08/2013,New,49,34,2014-08-02 18:07:32,b'Future legislator on Capitol steps http://t.co/RUPA4kZLXH'
16872,"Dawne S. Hickton, Esq.",YES,Green,@deshickton,12/12/2012,14/08/2013,New,49,34,2014-08-01 12:11:42,b'http://t.co/jkoPLWz55t'
16872,"Dawne S. Hickton, Esq.",YES,Green,@deshickton,12/12/2012,14/08/2013,New,49,34,2014-05-27 10:28:46,b'Industry markets manufacturing as hot career http://t.co/v5UJc3BJqF'
16872,"Dawne S. Hickton, Esq.",YES,Green,@deshickton,12/12/2012,14/08/2013,New,49,34,2014-04-23 01:31:54,b'Bruce! http://t.co/5mLfE2qYyp'
16872,"Dawne S. Hickton, Esq.",YES,Green,@deshickton,12/12/2012,14/08/2013,New,49,34,2014-04-09 11:04:11,b'http://t.co/xTsi9kEpxW'
16872,"Dawne S. Hickton, Esq.",YES,Green,@deshickton,12/12/2012,14/08/2013,New,49,34,2014-04-09 11:03:49,b'Next Stop Ferrari World! http://t.co/IwriyEBqNC'
16872,"Dawne S. Hickton, Esq.",YES,Green,@deshickton,12/12/2012,14/08/2013,New,49,34,2014-04-09 10:09:40,b'Another site tour today at ADAT:  Abu Dhabi Aircraft Technologies -- impressive MRO site.'
16872,"Dawne S. Hickton, Esq.",YES,Green,@deshickton,12/12/2012,14/08/2013,New,49,34,2014-04-09 10:07:25,b'Toured Yahset Satellite Company today providing connectivity for the Middle East and Africa - fascinating!'
16872,"Dawne S. Hickton, Esq.",YES,Green,@deshickton,12/12/2012,14/08/2013,New,49,34,2014-04-08 06:15:14,b'@AerospaceGlobal'
16872,"Dawne S. Hickton, Esq.",YES,Green,@deshickton,12/12/2012,14/08/2013,New,49,34,2014-04-07 06:05:51,b'@AerospaceGlobal'
16872,"Dawne S. Hickton, Esq.",YES,Green,@deshickton,12/12/2012,14/08/2013,New,49,34,2014-04-06 02:57:09,b'@emileeastanford - love the video'
16872,"Dawne S. Hickton, Esq.",YES,Green,@deshickton,12/12/2012,14/08/2013,New,49,34,2014-03-29 20:33:24,b'Shirley Jones wants a high-flying 80th birthday (from @AP) http://t.co/Ptefqn6nZR'
16872,"Dawne S. Hickton, Esq.",YES,Green,@deshickton,12/12/2012,14/08/2013,New,49,34,2014-03-27 11:18:37,b'Watersports or golf?  Tough call... http://t.co/btttHpIp9X'
16872,"Dawne S. Hickton, Esq.",YES,Green,@deshickton,12/12/2012,14/08/2013,New,49,34,2014-03-27 01:32:57,b'Self contained underwater breathing apparatus...... Really fun! http://t.co/ubIwmSeW4D'
16872,"Dawne S. Hickton, Esq.",YES,Green,@deshickton,12/12/2012,14/08/2013,New,49,34,2014-03-21 19:27:13,"b""Why Warren Buffett is still rich and you're not. (from @AP) http://t.co/k00rXLjtHQ"""
16872,"Dawne S. Hickton, Esq.",YES,Green,@deshickton,12/12/2012,14/08/2013,New,49,34,2014-03-01 05:46:11,b'In LA -- Almost as much fun as watching the Sewickley Panthers! http://t.co/TqIbqT5Zu9'
16872,"Dawne S. Hickton, Esq.",YES,Green,@deshickton,12/12/2012,14/08/2013,New,49,34,2014-03-01 00:39:15,"b'Pens, Blackhawks prepare for Soldier Field game (from @AP) http://t.co/xnUMMmZruT'"
16872,"Dawne S. Hickton, Esq.",YES,Green,@deshickton,12/12/2012,14/08/2013,New,49,34,2014-02-18 02:59:02,b'Atlanta here we come!   Congratulations Keenan on Emory!'
16872,"Dawne S. Hickton, Esq.",YES,Green,@deshickton,12/12/2012,14/08/2013,New,49,34,2014-02-15 03:56:36,b'GREAT SEASON  Panthers Basketball!  Your Fans love you!'
16872,"Dawne S. Hickton, Esq.",YES,Green,@deshickton,12/12/2012,14/08/2013,New,49,34,2014-01-23 16:10:57,b'RTI buys 3-D printing company in Texas http://t.co/ANGT2Z2b7o'
16872,"Dawne S. Hickton, Esq.",YES,Green,@deshickton,12/12/2012,14/08/2013,New,49,34,2014-01-11 21:46:49,b'Finished Disney Half Marathon today with daughter Audrey -- Got our Donald Duck medals!'
16872,"Dawne S. Hickton, Esq.",YES,Green,@deshickton,12/12/2012,14/08/2013,New,49,34,2013-12-03 21:46:55,b'U.S. students fall behind on international test http://t.co/yIoBk8pghM'
16872,"Dawne S. Hickton, Esq.",YES,Green,@deshickton,12/12/2012,14/08/2013,New,49,34,2013-11-25 11:47:41,b'NY troopers in big SUVs peer in on texting drivers (from @AP) http://t.co/QtqSsQQtBO'
16872,"Dawne S. Hickton, Esq.",YES,Green,@deshickton,12/12/2012,14/08/2013,New,49,34,2013-11-20 20:28:36,b'Study: Kids are less fit than their parents were (from @AP) http://t.co/CioK18ib2v'
16872,"Dawne S. Hickton, Esq.",YES,Green,@deshickton,12/12/2012,14/08/2013,New,49,34,2013-11-15 13:17:01,b'@RTIIntlMetals'
16872,"Dawne S. Hickton, Esq.",YES,Green,@deshickton,12/12/2012,14/08/2013,New,49,34,2013-11-15 13:15:41,b'@deshickton'
16872,"Dawne S. Hickton, Esq.",YES,Green,@deshickton,12/12/2012,14/08/2013,New,49,34,2013-11-13 23:21:09,b'Congrats SA Panthers! http://t.co/9vEaSFX4xq'
16872,"Dawne S. Hickton, Esq.",YES,Green,@deshickton,12/12/2012,14/08/2013,New,49,34,2013-11-13 11:39:23,b'More older drivers distracted by smartphones http://t.co/en7QtJTqiA'
16872,"Dawne S. Hickton, Esq.",YES,Green,@deshickton,12/12/2012,14/08/2013,New,49,34,2013-11-04 01:34:01,"b'Ran EQT 10 miler with my running friend Eileen today!  ""Ran"" into our Chairman and finished the race together.  Keep advancing your health!'"
16872,"Dawne S. Hickton, Esq.",YES,Green,@deshickton,12/12/2012,14/08/2013,New,49,34,2013-11-02 20:51:51,b'Advance your health!  Try something new in your life:  Today is my 56th Birthday and a new first: jumped fences on horseback!!!'
16872,"Dawne S. Hickton, Esq.",YES,Green,@deshickton,12/12/2012,14/08/2013,New,49,34,2013-10-24 09:56:01,b'More victims of online abuse reach out to parents (from @AP) http://t.co/pcUTcvQkCj'
16872,"Dawne S. Hickton, Esq.",YES,Green,@deshickton,12/12/2012,14/08/2013,New,49,34,2013-10-20 12:33:02,b'Panic over online college application glitches http://t.co/lTyuuCMItT'
16872,"Dawne S. Hickton, Esq.",YES,Green,@deshickton,12/12/2012,14/08/2013,New,49,34,2013-10-10 22:58:11,b'Congratulations Panthers Golf --WPIALS CHAMPS!  You are all the best!  Proud of you guys!  Now get your homework caught up.....'
16872,"Dawne S. Hickton, Esq.",YES,Green,@deshickton,12/12/2012,14/08/2013,New,49,34,2013-10-04 00:54:46,"b""Today's CEO Leader in STEM: Dawne S. Hickton of RTI International Metals, Inc. http://t.co/IRr9GH4aCq via @sharethis"""
16872,"Dawne S. Hickton, Esq.",YES,Green,@deshickton,12/12/2012,14/08/2013,New,49,34,2013-10-01 11:45:07,b'RTI International Metals Acquires U.K. Manufacturer Osborn Metals Limited http://t.co/yplCMiNGLX'
16872,"Dawne S. Hickton, Esq.",YES,Green,@deshickton,12/12/2012,14/08/2013,New,49,34,2013-09-18 15:21:54,"b'Colorado ""flood"" wedding for my niece - Sarah Simonic and fianc\xc3\xa9 Alan Stratton was awesome http://t.co/qyFNDUgt3U'"
16872,"Dawne S. Hickton, Esq.",YES,Green,@deshickton,12/12/2012,14/08/2013,New,49,34,2013-09-17 20:41:27,"b'RTI, United Technologies in titanium deal http://t.co/EXSGOQ4QFb'"
16872,"Dawne S. Hickton, Esq.",YES,Green,@deshickton,12/12/2012,14/08/2013,New,49,34,2013-09-13 15:46:17,b'Cover Story: #headache -- All atwitter over twitter http://t.co/IAUHs9YGdj via @pittsburghpg'
16872,"Dawne S. Hickton, Esq.",YES,Green,@deshickton,12/12/2012,14/08/2013,New,49,34,2013-09-12 11:57:35,b'More Americans exercise while they work (from @AP) http://t.co/KhP2FHrgtk'
16872,"Dawne S. Hickton, Esq.",YES,Green,@deshickton,12/12/2012,14/08/2013,New,49,34,2013-08-15 00:04:14,"b""RT @CNNMoney: Average cost to raise a kid is $241,080 and climbing - and that doesn't even include college! http://t.co/jaHpXJCRHM"""
31412,J. Edward Coleman,YES,Green,@colemaned,24/05/2009,29/05/2012,New,532,61,2016-10-20 21:05:58,b'ICD-10 Coding Productivity Study | CIOX https://t.co/68KXhtSoaq'
31412,J. Edward Coleman,YES,Green,@colemaned,24/05/2009,29/05/2012,New,532,61,2016-09-28 12:40:30,b'Looking forward to seeing you at AHIMA in Baltimore! https://t.co/cYfk7K2aPY'
31412,J. Edward Coleman,YES,Green,@colemaned,24/05/2009,29/05/2012,New,532,61,2016-09-28 12:07:17,b'https://t.co/cYfk7K2aPY'
31412,J. Edward Coleman,YES,Green,@colemaned,24/05/2009,29/05/2012,New,532,61,2016-09-05 13:30:13,"b'Interesting column on the role of trust in economic growth, and the potential for technology to increase or erode th\xe2\x80\xa6https://t.co/yys9E7Oi1e'"
31412,J. Edward Coleman,YES,Green,@colemaned,24/05/2009,29/05/2012,New,532,61,2016-08-30 20:39:36,b'More great business and employment news about Baltimore. https://t.co/WuRBUIO4OM'
31412,J. Edward Coleman,YES,Green,@colemaned,24/05/2009,29/05/2012,New,532,61,2016-08-17 21:36:11,b'RT @SenJohnMcCain: Thanks to the great people @CIOXHealth for the excellent town hall meeting in #Phoenix today! https://t.co/zxlLYABYfV'
31412,J. Edward Coleman,YES,Green,@colemaned,24/05/2009,29/05/2012,New,532,61,2016-08-17 13:57:15,b'e291a725-ab44-488b-9fa7-b74866db4b97.jpeg https://t.co/UJeUKDImo7'
31412,J. Edward Coleman,YES,Green,@colemaned,24/05/2009,29/05/2012,New,532,61,2016-07-24 15:40:58,b'Terrific recognition for Marie Crump and DATUM! https://t.co/HFG3JZ6bxX'
31412,J. Edward Coleman,YES,Green,@colemaned,24/05/2009,29/05/2012,New,532,61,2016-07-22 15:42:35,b'Congratulations to the Unisys AirCore team on bringing Air China onto the Unisys next gen platform. https://t.co/y66sU7luy3'
31412,J. Edward Coleman,YES,Green,@colemaned,24/05/2009,29/05/2012,New,532,61,2016-07-11 21:08:13,"b'Baltimore takes the #4 slot in CBRE\'s ""list of top \xe2\x80\x9cmomentum markets,\xe2\x80\x9d which ranks cities based on tech talent growt\xe2\x80\xa6https://t.co/lfoL3tMU2S'"
31412,J. Edward Coleman,YES,Green,@colemaned,24/05/2009,29/05/2012,New,532,61,2016-07-06 12:11:40,"b'Good news about doing business in Maryland, including:  ""Maryland ranks 3rd overall and 2nd among larger population\xe2\x80\xa6https://t.co/sGdrRbH03p'"
31412,J. Edward Coleman,YES,Green,@colemaned,24/05/2009,29/05/2012,New,532,61,2016-06-08 11:57:22,b'Great talent leading terrific businesses. https://t.co/Bl1ulaKdCw'
31412,J. Edward Coleman,YES,Green,@colemaned,24/05/2009,29/05/2012,New,532,61,2016-05-25 22:17:46,b'\xe2\x80\x9cThe ExportMD program is one of our most successful tools for connecting Maryland businesses with new partners aroun\xe2\x80\xa6https://t.co/7XixG4jHbS'
31412,J. Edward Coleman,YES,Green,@colemaned,24/05/2009,29/05/2012,New,532,61,2016-05-22 18:40:19,"b'Has the pendulum swung too far towards STEM, to the exclusion of everything else? https://t.co/x6mAcXdEJJ'"
31412,J. Edward Coleman,YES,Green,@colemaned,24/05/2009,29/05/2012,New,532,61,2016-05-19 23:38:35,b'Great to see Frito Lay investing $122M to expand its manufacturing and distribution center in Maryland. https://t.co/avdJUst1Dk'
31412,J. Edward Coleman,YES,Green,@colemaned,24/05/2009,29/05/2012,New,532,61,2016-05-13 17:51:16,"b'Interesting column, for example:  ""When do you think manufacturing output reached its peak in the United States? The\xe2\x80\xa6https://t.co/YdYziZ9dIS'"
31412,J. Edward Coleman,YES,Green,@colemaned,24/05/2009,29/05/2012,New,532,61,2016-05-03 00:21:50,"b'I believe the answer is yes, both in terms of reducing malware and intrusion ""dwell"" time and improving security ana\xe2\x80\xa6https://t.co/yfzZOgUsG2'"
31412,J. Edward Coleman,YES,Green,@colemaned,24/05/2009,29/05/2012,New,532,61,2016-04-27 22:31:15,"b'""It\xe2\x80\x99s what companies can reimagine with software that creates the real opportunities...""  Thought provoking article\xe2\x80\xa6https://t.co/CcNIiSKGt7'"
31412,J. Edward Coleman,YES,Green,@colemaned,24/05/2009,29/05/2012,New,532,61,2016-04-22 14:00:43,b'\xe2\x80\x9cHannover Messe is truly a unique opportunity to reach the decision makers of many of the world\xe2\x80\x99s largest industrial\xe2\x80\xa6https://t.co/lm5MWjNPSP'
31412,J. Edward Coleman,YES,Green,@colemaned,24/05/2009,29/05/2012,New,532,61,2016-04-08 12:54:34,"b""RT @Jamescitrin: This makes a brilliant case for the importance of the humanities. It's a must read in today's world https://t.co/AJlam0RiDP"""
31412,J. Edward Coleman,YES,Green,@colemaned,24/05/2009,29/05/2012,New,532,61,2016-04-07 19:49:37,"b'Interesting column that tackles the question, ""if not performance reviews, than what?"" https://t.co/FfDsMPTM3s'"
31412,J. Edward Coleman,YES,Green,@colemaned,24/05/2009,29/05/2012,New,532,61,2016-03-04 16:40:10,"b'Congratulations on this new release of rapidPHIRE, a cyber intelligence platform that uses data science, combined wi\xe2\x80\xa6https://t.co/vGOLU19bDr'"
31412,J. Edward Coleman,YES,Green,@colemaned,24/05/2009,29/05/2012,New,532,61,2016-03-03 15:56:53,"b'As data governance becomes more critical in a hybrid world, DATUM is recognized by Forrester as having ""one of the b\xe2\x80\xa6https://t.co/xSKghVaNpt'"
31412,J. Edward Coleman,YES,Green,@colemaned,24/05/2009,29/05/2012,New,532,61,2016-02-24 00:28:35,b'4Q 2015 Middle Market Indicator Reports 6.1% Revenue Growth https://t.co/6aedCN1qp9'
31412,J. Edward Coleman,YES,Green,@colemaned,24/05/2009,29/05/2012,New,532,61,2016-02-13 15:28:51,"b""Gartner: 'Five Styles of Advanced Threat Defense' can protect enterprise from targeted attacks https://t.co/bfJV8DPqHu"""
31412,J. Edward Coleman,YES,Green,@colemaned,24/05/2009,29/05/2012,New,532,61,2016-02-05 22:52:38,"b'An interesting, contrarian view of leadership qualities, but sometimes seems to confuse leadership with personal adv\xe2\x80\xa6https://t.co/m6DQyyyrmh'"
31412,J. Edward Coleman,YES,Green,@colemaned,24/05/2009,29/05/2012,New,532,61,2016-01-19 23:37:08,b'Congratulations to Unisys team on making Stealth available through the AWS marketplace.  Great opportunity for organ\xe2\x80\xa6https://t.co/J4hCm2Kv4k'
